day, preys, predators
1, 70, 50
2, 68.95, 50.375
3, 67.877, 50.7131
4, 66.7862, 51.0127
5, 65.683, 51.2723
6, 64.5724, 51.4908
7, 63.4594, 51.6674
8, 62.3488, 51.8015
9, 61.2451, 51.8928
10, 60.1525, 51.9413
11, 59.0751, 51.9472
12, 58.0164, 51.9112
13, 56.9798, 51.834
14, 55.9684, 51.7166
15, 54.9848, 51.5602
16, 54.0313, 51.3663
17, 53.1101, 51.1364
18, 52.2229, 50.8722
19, 51.3712, 50.5755
20, 50.5563, 50.2482
21, 49.7791, 49.8923
22, 49.0405, 49.5098
23, 48.341, 49.1028
24, 47.6809, 48.6734
25, 47.0606, 48.2237
26, 46.4801, 47.7557
27, 45.9394, 47.2715
28, 45.4383, 46.773
29, 44.9767, 46.2622
30, 44.5542, 45.7409
31, 44.1705, 45.211
32, 43.8252, 44.6742
33, 43.5179, 44.1323
34, 43.2482, 43.5868
35, 43.0155, 43.0392
36, 42.8194, 42.491
37, 42.6594, 41.9435
38, 42.535, 41.398
39, 42.4458, 40.8557
40, 42.3913, 40.3178
41, 42.3711, 39.7853
42, 42.3847, 39.2593
43, 42.4318, 38.7406
44, 42.512, 38.2301
45, 42.6249, 37.7287
46, 42.7701, 37.237
47, 42.9474, 36.7558
48, 43.1564, 36.2857
49, 43.3968, 35.8273
50, 43.6684, 35.3812
51, 43.9709, 34.9478
52, 44.3041, 34.5277
53, 44.6678, 34.1212
54, 45.0617, 33.7288
55, 45.4856, 33.3509
56, 45.9393, 32.9878
57, 46.4225, 32.6399
58, 46.935, 32.3075
59, 47.4766, 31.9909
60, 48.047, 31.6904
61, 48.6459, 31.4063
62, 49.273, 31.1389
63, 49.9279, 30.8884
64, 50.6103, 30.6551
65, 51.3197, 30.4392
66, 52.0557, 30.241
67, 52.8177, 30.0608
68, 53.6051, 29.8989
69, 54.4173, 29.7555
70, 55.2535, 29.6309
71, 56.1129, 29.5254
72, 56.9945, 29.4393
73, 57.8974, 29.3729
74, 58.8203, 29.3266
75, 59.762, 29.3007
76, 60.7211, 29.2955
77, 61.6961, 29.3113
78, 62.6853, 29.3486
79, 63.6868, 29.4077
80, 64.6987, 29.489
81, 65.7188, 29.5929
82, 66.7447, 29.7198
83, 67.7739, 29.8701
84, 68.8037, 30.0443
85, 69.8312, 30.2427
86, 70.8532, 30.4657
87, 71.8665, 30.7137
88, 72.8676, 30.987
89, 73.8527, 31.286
90, 74.818, 31.611
91, 75.7595, 31.9623
92, 76.6729, 32.3401
93, 77.5539, 32.7445
94, 78.3979, 33.1756
95, 79.2004, 33.6334
96, 79.9568, 34.1177
97, 80.6623, 34.6284
98, 81.3122, 35.165
99, 81.9019, 35.7271
100, 82.4268, 36.314
101, 82.8825, 36.9248
102, 83.2648, 37.5585
103, 83.5697, 38.2138
104, 83.7936, 38.8893
105, 83.9332, 39.5833
106, 83.9857, 40.2938
107, 83.9487, 41.0187
108, 83.8204, 41.7555
109, 83.5997, 42.5015
110, 83.286, 43.2538
111, 82.8795, 44.0092
112, 82.3811, 44.7644
113, 81.7924, 45.5158
114, 81.1157, 46.2597
115, 80.3541, 46.9923
116, 79.5113, 47.7097
117, 78.5918, 48.4079
118, 77.6006, 49.0829
119, 76.5433, 49.7308
120, 75.4261, 50.3478
121, 74.2554, 50.9303
122, 73.0379, 51.4748
123, 71.7808, 51.9781
124, 70.4911, 52.4374
125, 69.176, 52.85
126, 67.8426, 53.2137
127, 66.4979, 53.5267
128, 65.1487, 53.7876
129, 63.8013, 53.9953
130, 62.4619, 54.1492
131, 61.1362, 54.2492
132, 59.8295, 54.2954
133, 58.5466, 54.2885
134, 57.2918, 54.2293
135, 56.069, 54.1192
136, 54.8815, 53.9596
137, 53.7323, 53.7525
138, 52.6239, 53.4998
139, 51.5583, 53.2038
140, 50.5372, 52.867
141, 49.5618, 52.4918
142, 48.6331, 52.0809
143, 47.7518, 51.6369
144, 46.9183, 51.1626
145, 46.1327, 50.6606
146, 45.395, 50.1337
147, 44.705, 49.5845
148, 44.0623, 49.0157
149, 43.4664, 48.4298
150, 42.9168, 47.8293
151, 42.4128, 47.2165
152, 41.9537, 46.5937
153, 41.5388, 45.9631
154, 41.1672, 45.3267
155, 40.8383, 44.6865
156, 40.5512, 44.0443
157, 40.3052, 43.4018
158, 40.0995, 42.7607
159, 39.9334, 42.1225
160, 39.8063, 41.4886
161, 39.7174, 40.8602
162, 39.6662, 40.2386
163, 39.652, 39.6249
164, 39.6743, 39.0202
165, 39.7326, 38.4254
166, 39.8264, 37.8413
167, 39.9554, 37.2688
168, 40.1191, 36.7085
169, 40.3172, 36.1612
170, 40.5494, 35.6274
171, 40.8154, 35.1077
172, 41.1149, 34.6026
173, 41.4478, 34.1125
174, 41.8138, 33.6379
175, 42.2128, 33.1791
176, 42.6447, 32.7365
177, 43.1093, 32.3104
178, 43.6065, 31.9011
179, 44.1362, 31.5089
180, 44.6983, 31.134
181, 45.2927, 30.7767
182, 45.9193, 30.4372
183, 46.578, 30.1158
184, 47.2686, 29.8126
185, 47.9909, 29.5279
186, 48.7447, 29.2619
187, 49.5298, 29.0149
188, 50.3459, 28.7871
189, 51.1927, 28.5787
190, 52.0697, 28.3899
191, 52.9765, 28.221
192, 53.9125, 28.0723
193, 54.8771, 27.9441
194, 55.8695, 27.8367
195, 56.8888, 27.7505
196, 57.9341, 27.6857
197, 59.0042, 27.6428
198, 60.0979, 27.6222
199, 61.2137, 27.6242
200, 62.3501, 27.6493
201, 63.5052, 27.698
202, 64.6771, 27.7708
203, 65.8635, 27.8682
204, 67.0621, 27.9908
205, 68.2701, 28.1391
206, 69.4847, 28.3136
207, 70.7027, 28.515
208, 71.9207, 28.7439
209, 73.135, 29.0009
210, 74.3416, 29.2866
211, 75.5363, 29.6016
212, 76.7145, 29.9465
213, 77.8714, 30.3219
214, 79.0019, 30.7283
215, 80.1006, 31.1662
216, 81.162, 31.636
217, 82.1803, 32.1381
218, 83.1494, 32.6727
219, 84.0633, 33.24
220, 84.9157, 33.8399
221, 85.7003, 34.4723
222, 86.4109, 35.1368
223, 87.0413, 35.8328
224, 87.5854, 36.5595
225, 88.0374, 37.3159
226, 88.3919, 38.1006
227, 88.6437, 38.9119
228, 88.7884, 39.7478
229, 88.822, 40.606
230, 88.7413, 41.4838
231, 88.5438, 42.378
232, 88.228, 43.2852
233, 87.7932, 44.2016
234, 87.2399, 45.123
235, 86.5695, 46.0449
236, 85.7845, 46.9624
237, 84.8886, 47.8706
238, 83.8864, 48.7642
239, 82.7836, 49.6378
240, 81.5868, 50.486
241, 80.3035, 51.3034
242, 78.9419, 52.0846
243, 77.5109, 52.8245
244, 76.0198, 53.5183
245, 74.4783, 54.1613
246, 72.8962, 54.7494
247, 71.2834, 55.2789
248, 69.6497, 55.7467
249, 68.0046, 56.1502
250, 66.3572, 56.4873
251, 64.7161, 56.7566
252, 63.0895, 56.9574
253, 61.4847, 57.0894
254, 59.9086, 57.153
255, 58.3672, 57.1491
256, 56.8658, 57.0791
257, 55.409, 56.9449
258, 54.0007, 56.7488
259, 52.644, 56.4935
260, 51.3416, 56.1818
261, 50.0954, 55.817
262, 48.9069, 55.4024
263, 47.777, 54.9415
264, 46.7062, 54.4378
265, 45.6947, 53.895
266, 44.7423, 53.3168
267, 43.8486, 52.7067
268, 43.0128, 52.0682
269, 42.2342, 51.4048
270, 41.5117, 50.7199
271, 40.8442, 50.0166
272, 40.2305, 49.298
273, 39.6694, 48.5671
274, 39.1596, 47.8266
275, 38.6999, 47.0791
276, 38.289, 46.327
277, 37.9256, 45.5726
278, 37.6086, 44.8181
279, 37.3368, 44.0654
280, 37.1091, 43.3164
281, 36.9245, 42.5727
282, 36.782, 41.8359
283, 36.6807, 41.1074
284, 36.6198, 40.3885
285, 36.5985, 39.6803
286, 36.6161, 38.9839
287, 36.6719, 38.3002
288, 36.7654, 37.6301
289, 36.8961, 36.9744
290, 37.0635, 36.3337
291, 37.2673, 35.7087
292, 37.5072, 35.0999
293, 37.7829, 34.5078
294, 38.0942, 33.9328
295, 38.4409, 33.3753
296, 38.8229, 32.8356
297, 39.2401, 32.3141
298, 39.6925, 31.811
299, 40.1801, 31.3265
300, 40.7029, 30.8608
301, 41.2609, 30.4142
302, 41.8542, 29.9867
303, 42.4828, 29.5786
304, 43.1469, 29.19
305, 43.8465, 28.821
306, 44.5817, 28.4718
307, 45.3526, 28.1426
308, 46.1592, 27.8334
309, 47.0016, 27.5445
310, 47.8797, 27.276
311, 48.7935, 27.0281
312, 49.7429, 26.8009
313, 50.7277, 26.5947
314, 51.7477, 26.4098
315, 52.8026, 26.2463
316, 53.8919, 26.1046
317, 55.0152, 25.985
318, 56.1718, 25.8879
319, 57.3609, 25.8136
320, 58.5815, 25.7625
321, 59.8326, 25.7351
322, 61.1129, 25.7319
323, 62.4208, 25.7534
324, 63.7547, 25.8002
325, 65.1127, 25.8729
326, 66.4925, 25.9721
327, 67.8916, 26.0986
328, 69.3073, 26.2531
329, 70.7364, 26.4364
330, 72.1756, 26.6493
331, 73.621, 26.8927
332, 75.0685, 27.1674
333, 76.5135, 27.4744
334, 77.9511, 27.8147
335, 79.3759, 28.1892
336, 80.7821, 28.5988
337, 82.1636, 29.0446
338, 83.5138, 29.5274
339, 84.8257, 30.0481
340, 86.092, 30.6076
341, 87.3049, 31.2066
342, 88.4565, 31.8457
343, 89.5385, 32.5254
344, 90.5424, 33.246
345, 91.4597, 34.0076
346, 92.2818, 34.81
347, 93.0002, 35.6528
348, 93.6066, 36.5352
349, 94.0931, 37.4561
350, 94.4521, 38.4138
351, 94.6768, 39.4064
352, 94.7611, 40.4313
353, 94.6998, 41.4854
354, 94.4888, 42.5651
355, 94.1252, 43.6661
356, 93.6076, 44.7837
357, 92.9359, 45.9125
358, 92.1117, 47.0466
359, 91.1381, 48.1797
360, 90.0199, 49.3049
361, 88.7635, 50.415
362, 87.3768, 51.5026
363, 85.8692, 52.5601
364, 84.2514, 53.5799
