day, preys, predators
1, 70, 50
2, 68.9312, 50.3372
3, 67.8488, 50.6352
4, 66.758, 50.8932
5, 65.6637, 51.1103
6, 64.5705, 51.2861
7, 63.483, 51.4204
8, 62.4053, 51.5134
9, 61.3412, 51.5652
10, 60.2942, 51.5766
11, 59.2675, 51.5483
12, 58.2641, 51.4813
13, 57.2865, 51.3767
14, 56.337, 51.2359
15, 55.4176, 51.0605
16, 54.5299, 50.8518
17, 53.6756, 50.6118
18, 52.8556, 50.342
19, 52.0711, 50.0444
20, 51.3227, 49.7208
21, 50.6111, 49.3732
22, 49.9367, 49.0033
23, 49.2998, 48.6132
24, 48.7004, 48.2047
25, 48.1387, 47.7796
26, 47.6145, 47.3399
27, 47.1276, 46.8872
28, 46.6779, 46.4234
29, 46.2649, 45.95
30, 45.8885, 45.4688
31, 45.5482, 44.9813
32, 45.2435, 44.4889
33, 44.9742, 43.9931
34, 44.7396, 43.4953
35, 44.5394, 42.9967
36, 44.3731, 42.4986
37, 44.2402, 42.0022
38, 44.1403, 41.5084
39, 44.073, 41.0185
40, 44.0378, 40.5332
41, 44.0342, 40.0536
42, 44.062, 39.5805
43, 44.1206, 39.1146
44, 44.2096, 38.6568
45, 44.3288, 38.2078
46, 44.4777, 37.7681
47, 44.656, 37.3384
48, 44.8633, 36.9193
49, 45.0993, 36.5112
50, 45.3637, 36.1148
51, 45.6561, 35.7304
52, 45.9762, 35.3585
53, 46.3237, 34.9995
54, 46.6981, 34.6538
55, 47.0993, 34.3217
56, 47.5268, 34.0036
57, 47.9802, 33.6998
58, 48.4592, 33.4106
59, 48.9633, 33.1363
60, 49.4921, 32.8772
61, 50.0451, 32.6336
62, 50.6217, 32.4056
63, 51.2215, 32.1937
64, 51.8438, 31.998
65, 52.4879, 31.8187
66, 53.1532, 31.6561
67, 53.8388, 31.5105
68, 54.5438, 31.3821
69, 55.2675, 31.2711
70, 56.0087, 31.1778
71, 56.7663, 31.1023
72, 57.5392, 31.045
73, 58.326, 31.0061
74, 59.1255, 30.9858
75, 59.936, 30.9843
76, 60.7561, 31.0019
77, 61.5839, 31.0388
78, 62.4176, 31.0951
79, 63.2553, 31.1712
80, 64.0949, 31.2673
81, 64.9342, 31.3834
82, 65.7708, 31.5198
83, 66.6023, 31.6767
84, 67.4262, 31.8541
85, 68.2397, 32.0522
86, 69.0401, 32.271
87, 69.8246, 32.5105
88, 70.59, 32.7708
89, 71.3335, 33.0518
90, 72.0519, 33.3532
91, 72.742, 33.675
92, 73.4007, 34.0169
93, 74.0249, 34.3786
94, 74.6114, 34.7595
95, 75.1572, 35.1592
96, 75.6591, 35.577
97, 76.1144, 36.0122
98, 76.5203, 36.464
99, 76.8741, 36.9314
100, 77.1736, 37.4133
101, 77.4164, 37.9085
102, 77.6009, 38.4156
103, 77.7253, 38.9332
104, 77.7883, 39.4596
105, 77.7891, 39.9932
106, 77.7271, 40.5321
107, 77.602, 41.0743
108, 77.4141, 41.6179
109, 77.1641, 42.1606
110, 76.8528, 42.7003
111, 76.4817, 43.2347
112, 76.0526, 43.7616
113, 75.5676, 44.2786
114, 75.0292, 44.7834
115, 74.4404, 45.2737
116, 73.8041, 45.7473
117, 73.1238, 46.2021
118, 72.4031, 46.6359
119, 71.6458, 47.0468
120, 70.8558, 47.433
121, 70.0371, 47.7928
122, 69.1939, 48.1247
123, 68.3301, 48.4272
